Wilaya,Mean Temperature,Approximate Rainfall,Approximate Humidity,Year
ADRAR,29.0,10,20,2024
CHLEF,21.0,400,60,2024
LAGHOUAT,22.0,200,40,2024
OUM EL BOUAGHI,18.0,350,55,2024
BATNA,19.0,300,50,2024
BEJAIA,22.0,800,70,2024
BISKRA,25.0,150,30,2024
BECHAR,24.0,50,25,2024
BLIDA,23.0,600,65,2024
BOUIRA,20.0,500,60,2024
TAMANRASSET,28.0,20,15,2024
TEBESSA,17.0,250,45,2024
TLEMCEN,21.0,500,60,2024
TIARET,19.0,350,50,2024
TIZI OUZOU,21.0,1000,75,2024
ALGIERS,24.0,600,65,2024
DJELFA,18.0,300,45,2024
JIJEL,23.0,900,70,2024
SETIF,18.0,400,55,2024
SAIDA,20.0,250,40,2024
SKIKDA,23.0,700,65,2024
SIDI BEL ABBES,21.0,450,55,2024
ANNABA,24.0,600,65,2024
GUELMA,20.0,550,60,2024
CONSTANTINE,19.0,450,55,2024
MEDEA,19.0,400,50,2024
MOSTAGANEM,23.0,300,60,2024
M'SILA,21.0,200,40,2024
MASCARA,22.0,400,55,2024
OUARGLA,27.0,30,20,2024
ORAN,24.0,350,60,2024
EL BAYADH,16.0,150,35,2024
ILLIZI,26.0,10,15,2024
BORDJ BOU ARRERIDJ,19.0,400,55,2024
BOUMERDES,23.0,600,65,2024
EL TARF,22.0,800,70,2024
TINDOUF,25.0,20,15,2024
TISSEMSILT,18.0,350,50,2024
EL OUED,26.0,40,20,2024
KHENCHELA,17.0,250,40,2024
SOUK AHRAS,20.0,600,60,2024
TIPAZA,24.0,500,60,2024
MILA,19.0,450,55,2024
AIN DEFLA,20.0,400,50,2024
NAAMA,15.0,100,30,2024
AIN TEMOUCHENT,22.0,400,60,2024
GHARDAIA,23.0,50,25,2024
RELIZANE,22.0,350,55,2024
ADRAR,29.7,6,23,2023
CHLEF,22.6,400,65,2023
LAGHOUAT,21.5,194,40,2023
OUM EL BOUAGHI,16.4,342,51,2023
BATNA,17.5,317,50,2023
BEJAIA,23.8,809,74,2023
BISKRA,25.4,159,32,2023
BECHAR,24.9,31,21,2023
BLIDA,24.4,607,70,2023
BOUIRA,19.9,509,60,2023
TAMANRASSET,28.1,1,12,2023
TEBESSA,16.7,237,50,2023
TLEMCEN,22.2,484,58,2023
TIARET,18.4,330,47,2023
TIZI OUZOU,21.0,1016,77,2023
ALGIERS,24.4,596,61,2023
DJELFA,18.7,297,47,2023
JIJEL,23.3,911,68,2023
SETIF,17.9,402,57,2023
SAIDA,21.6,249,38,2023
SKIKDA,21.2,712,66,2023
SIDI BEL ABBES,20.0,470,59,2023
ANNABA,25.2,582,65,2023
GUELMA,19.4,536,64,2023
CONSTANTINE,19.8,453,58,2023
MEDEA,20.3,413,49,2023
