Semestre,Division administrative,Cas
Jan-Jui 2024,Ain-Zaouia,5
Jan-Jui 2024,Ait Bouadou,9
Jan-Jui 2024,Bouinan,3
Jan-Jui 2024,Dhayet Bendhahoua,2
Jan-Jui 2024,Djezzar,3
Jan-Jui 2024,Draa El Mizan,5
Jan-Jui 2024,El Hamdania,1
Jan-Jui 2024,Maatkas,3
Jan-Jui 2024,Tadmait,5
Jan-Jui 2024,Taghzout,1
Jan-Jui 2024,Taher,4
Jan-Jui 2024,Tichy,1
Jan-Jui 2024,Timezrit,9
Juil-Déc 2024,Beidha Bordj,1
Juil-Déc 2024,Chrea,5
Juil-Déc 2024,Douera,1
Juil-Déc 2024,Hammam Ben Salah,2
Juil-Déc 2024,Hasnaoua,1
Juil-Déc 2024,Hattatba,3
Juil-Déc 2024,Ouled Chebel,5
Juil-Déc 2024,Sidi Merouane,2
Juil-Déc 2024,Tamalous,1
