Wilaya,Mean Temperature,Approximate Rainfall,Approximate Humidity,Year
Adrar,29,10,20,2024
Chlef,21,400,60,2024
Laghouat,22,200,40,2024
Oum El Bouaghi,18,350,55,2024
Batna,19,300,50,2024
Bejaia,22,800,70,2024
Biskra,25,150,30,2024
Bechar,24,50,25,2024
Blida,23,600,65,2024
Bouira,20,500,60,2024
Tamanrasset,28,20,15,2024
Tebessa,17,250,45,2024
Tlemcen,21,500,60,2024
Tiaret,19,350,50,2024
Tizi Ouzou,21,1000,75,2024
Algiers,24,600,65,2024
Djelfa,18,300,45,2024
Jijel,23,900,70,2024
Setif,18,400,55,2024
Saida,20,250,40,2024
Skikda,23,700,65,2024
Sidi Bel Abbes,21,450,55,2024
Annaba,24,600,65,2024
Guelma,20,550,60,2024
Constantine,19,450,55,2024
Medea,19,400,50,2024
Mostaganem,23,300,60,2024
M'Sila,21,200,40,2024
Mascara,22,400,55,2024
Ouargla,27,30,20,2024
Oran,24,350,60,2024
El Bayadh,16,150,35,2024
Illizi,26,10,15,2024
Bordj Bou Arreridj,19,400,55,2024
Boumerdes,23,600,65,2024
El Tarf,22,800,70,2024
Tindouf,25,20,15,2024
Tissemsilt,18,350,50,2024
El Oued,26,40,20,2024
Khenchela,17,250,40,2024
Souk Ahras,20,600,60,2024
Tipaza,24,500,60,2024
Mila,19,450,55,2024
Ain Defla,20,400,50,2024
Naama,15,100,30,2024
Ain Temouchent,22,400,60,2024
Ghardaia,23,50,25,2024
Relizane,22,350,55,2024
Adrar,29.7,6,23,2023
Chlef,22.6,400,65,2023
Laghouat,21.5,194,40,2023
Oum El Bouaghi,16.4,342,51,2023
Batna,17.5,317,50,2023
Bejaia,23.8,809,74,2023
Biskra,25.4,159,32,2023
Bechar,24.9,31,21,2023
Blida,24.4,607,70,2023
Bouira,19.9,509,60,2023
Tamanrasset,28.1,1,12,2023
Tebessa,16.7,237,50,2023
Tlemcen,22.2,484,58,2023
Tiaret,18.4,330,47,2023
Tizi Ouzou,21.0,1016,77,2023
Algiers,24.4,596,61,2023
Djelfa,18.7,297,47,2023
Jijel,23.3,911,68,2023
Setif,17.9,402,57,2023
Saida,21.6,249,38,2023
Skikda,21.2,712,66,2023
Sidi Bel Abbes,20.0,470,59,2023
Annaba,25.2,582,65,2023
Guelma,19.4,536,64,2023
Constantine,19.8,453,58,2023
Medea,20.3,413,49,2023
Mostaganem,23.8,308,58,2023
M'Sila,21.3,181,41,2023
Mascara,21.6,407,55,2023
Ouargla,27.5,46,16,2023
Oran,25.5,368,65,2023
El Bayadh,17.3,143,40,2023
Illizi,27.8,6,16,2023
Bordj Bou Arreridj,18.9,417,50,2023
Boumerdes,24.7,605,61,2023
El Tarf,22.5,803,65,2023
Tindouf,25.8,40,15,2023
Tissemsilt,17.0,330,54,2023
El Oued,25.6,30,15,2023
Khenchela,16.8,239,45,2023
Souk Ahras,21.5,589,62,2023
Tipaza,22.4,514,64,2023
Mila,19.7,451,59,2023
Ain Defla,19.0,399,48,2023
Naama,16.2,89,27,2023
Ain Temouchent,22.6,396,57,2023
Ghardaia,22.2,30,24,2023
Relizane,20.0,354,55,2023
Adrar,29.6,13,25,2022
Chlef,23.9,407,60,2022
Laghouat,21.3,184,44,2022
Oum El Bouaghi,17.4,333,53,2022
Batna,16.6,311,52,2022
Bejaia,22.4,813,73,2022
Biskra,26.8,174,37,2022
Bechar,25.8,40,26,2022
Blida,22.5,596,73,2022
Bouira,20.8,502,61,2022
Tamanrasset,27.9,0,17,2022
Tebessa,17.8,257,49,2022
Tlemcen,20.8,474,54,2022
Tiaret,18.2,345,52,2022
Tizi Ouzou,21.6,1029,74,2022
Algiers,26.1,607,57,2022
Djelfa,17.8,306,42,2022
Jijel,21.7,925,69,2022
Setif,19.0,386,52,2022
Saida,20.8,265,36,2022
Skikda,19.6,704,64,2022
Sidi Bel Abbes,18.1,480,55,2022
Annaba,23.9,602,68,2022
Guelma,17.4,535,66,2022
Constantine,21.7,466,58,2022
Medea,20.6,400,47,2022
Mostaganem,22.7,302,63,2022
M'Sila,21.1,180,42,2022
Mascara,19.8,402,54,2022
Ouargla,26.8,38,15,2022
Oran,26.6,365,62,2022
El Bayadh,17.1,141,42,2022
Illizi,29.2,13,17,2022
Bordj Bou Arreridj,20.2,398,48,2022
Boumerdes,25.5,610,65,2022
El Tarf,20.9,801,63,2022
Tindouf,25.2,32,16,2022
Tissemsilt,18.3,326,52,2022
El Oued,26.4,15,18,2022
Khenchela,15.3,224,40,2022
Souk Ahras,22.8,585,64,2022
Tipaza,20.7,509,64,2022
Mila,19.0,448,62,2022
Ain Defla,20.9,408,48,2022
Naama,16.8,71,29,2022
Ain Temouchent,21.7,408,52,2022
Ghardaia,22.0,25,19,2022
Relizane,20.3,339,57,2022
Adrar,30.2,0,30,2021
Chlef,24.1,399,60,2021
Laghouat,19.5,197,45,2021
Oum El Bouaghi,15.5,344,52,2021
Batna,16.3,321,57,2021
Bejaia,22.5,816,74,2021
Biskra,28.7,158,37,2021
Bechar,26.5,47,22,2021
Blida,23.8,588,68,2021
Bouira,20.2,493,65,2021
Tamanrasset,27.7,1,19,2021
Tebessa,16.2,271,51,2021
Tlemcen,22.5,491,54,2021
Tiaret,19.1,340,53,2021
Tizi Ouzou,20.2,1016,70,2021
Algiers,24.9,626,54,2021
Djelfa,17.0,301,38,2021
Jijel,22.8,915,65,2021
Setif,19.9,387,54,2021
Saida,21.4,263,37,2021
Skikda,19.7,701,69,2021
Sidi Bel Abbes,16.3,473,58,2021
Annaba,24.8,591,72,2021
Guelma,18.6,538,66,2021
Constantine,20.0,478,55,2021
Medea,21.0,400,51,2021
Mostaganem,23.4,289,62,2021
M'Sila,23.0,188,44,2021
Mascara,19.9,397,51,2021
Ouargla,28.6,35,14,2021
Oran,26.3,380,58,2021
El Bayadh,19.0,133,37,2021
Illizi,30.4,30,12,2021
Bordj Bou Arreridj,21.8,406,53,2021
Boumerdes,23.9,594,66,2021
El Tarf,20.4,787,58,2021
Tindouf,23.3,16,20,2021
Tissemsilt,19.6,312,57,2021
El Oued,24.8,21,18,2021
Khenchela,16.0,230,37,2021
Souk Ahras,21.4,582,64,2021
Tipaza,20.6,507,65,2021
Mila,18.6,438,65,2021
Ain Defla,19.2,401,44,2021
Naama,16.9,68,29,2021
Ain Temouchent,22.0,394,51,2021
Ghardaia,20.6,10,15,2021
Relizane,22.2,356,56,2021
Adrar,28.7,6,31,2020
Chlef,23.5,400,56,2020
Laghouat,18.5,181,49,2020
Oum El Bouaghi,16.4,331,53,2020
Batna,17.0,332,57,2020
Bejaia,24.0,810,73,2020
Biskra,27.6,144,42,2020
Bechar,25.6,59,26,2020
Blida,22.7,591,64,2020
Bouira,21.6,511,69,2020
Tamanrasset,28.8,8,18,2020
Tebessa,14.5,251,46,2020
Tlemcen,21.1,494,50,2020
Tiaret,19.7,325,55,2020
Tizi Ouzou,19.3,1006,71,2020
Algiers,24.1,628,56,2020
Djelfa,15.3,296,43,2020
Jijel,23.5,934,68,2020
Setif,20.3,378,59,2020
Saida,20.8,274,42,2020
Skikda,21.1,685,72,2020
Sidi Bel Abbes,17.4,479,56,2020
Annaba,24.3,583,74,2020
Guelma,19.0,534,64,2020
Constantine,20.4,487,60,2020
Medea,21.5,404,46,2020
Mostaganem,21.7,269,64,2020
M'Sila,23.1,179,39,2020
Mascara,19.6,405,46,2020
Ouargla,29.5,26,16,2020
Oran,26.0,370,55,2020
El Bayadh,20.7,123,37,2020
Illizi,31.5,32,12,2020
Bordj Bou Arreridj,22.8,410,48,2020
Boumerdes,23.7,605,66,2020
El Tarf,22.0,795,62,2020
Tindouf,24.7,28,22,2020
Tissemsilt,21.1,295,57,2020
El Oued,23.7,7,20,2020
Khenchela,16.1,227,40,2020
Souk Ahras,20.7,579,61,2020
Tipaza,21.8,488,62,2020
Mila,19.5,458,65,2020
Ain Defla,18.0,390,49,2020
Naama,18.1,86,29,2020
Ain Temouchent,22.4,400,50,2020
Ghardaia,21.6,15,10,2020
Relizane,23.4,340,60,2020
Adrar,30.2,25,26,2019
Chlef,22.8,380,61,2019
Laghouat,19.9,167,50,2019
Oum El Bouaghi,15.8,336,48,2019
Batna,15.8,330,61,2019
Bejaia,25.0,801,69,2019
Biskra,27.9,133,43,2019
Bechar,27.3,57,30,2019
Blida,21.6,584,59,2019
Bouira,22.7,496,73,2019
Tamanrasset,29.3,14,20,2019
Tebessa,15.2,248,49,2019
Tlemcen,20.5,501,53,2019
Tiaret,20.7,317,50,2019
Tizi Ouzou,19.2,1014,70,2019
Algiers,25.6,629,60,2019
Djelfa,15.2,288,40,2019
Jijel,24.6,943,65,2019
Setif,19.8,389,63,2019
Saida,20.1,285,46,2019
Skikda,21.6,683,76,2019
Sidi Bel Abbes,16.9,479,51,2019
Annaba,24.0,589,74,2019
Guelma,17.6,543,61,2019
Constantine,20.0,500,64,2019
Medea,21.3,405,41,2019
Mostaganem,19.9,286,63,2019
M'Sila,23.0,179,34,2019
Mascara,20.7,409,46,2019
Ouargla,28.0,17,13,2019
Oran,26.1,379,55,2019
El Bayadh,22.3,137,36,2019
Illizi,32.9,13,7,2019
Bordj Bou Arreridj,23.8,427,50,2019
Boumerdes,22.4,617,65,2019
El Tarf,20.9,780,62,2019
Tindouf,25.5,28,21,2019
Tissemsilt,23.1,278,52,2019
El Oued,22.8,4,25,2019
Khenchela,16.0,229,35,2019
Souk Ahras,19.7,574,65,2019
Tipaza,22.5,469,65,2019
Mila,18.8,465,68,2019
Ain Defla,19.4,382,52,2019
Naama,18.6,76,34,2019
Ain Temouchent,20.9,412,48,2019
Ghardaia,21.6,5,15,2019
Relizane,24.6,336,57,2019
Adrar,30.7,38,29,2018
Chlef,24.1,365,57,2018
Laghouat,18.6,160,51,2018
Oum El Bouaghi,17.4,349,43,2018
Batna,15.5,336,61,2018
Bejaia,24.5,818,73,2018
Biskra,28.5,115,39,2018
Bechar,26.6,57,32,2018
Blida,21.0,571,58,2018
Bouira,23.7,516,75,2018
Tamanrasset,28.8,22,16,2018
Tebessa,15.3,264,49,2018
Tlemcen,19.7,517,51,2018
Tiaret,20.2,308,49,2018
Tizi Ouzou,20.0,1013,65,2018
Algiers,25.7,646,57,2018
Djelfa,16.8,298,42,2018
Jijel,24.5,961,67,2018
Setif,19.5,380,61,2018
Saida,22.0,292,43,2018
Skikda,21.0,691,75,2018
Sidi Bel Abbes,15.5,471,48,2018
Annaba,24.4,596,75,2018
Guelma,17.6,536,56,2018
Constantine,19.3,488,60,2018
Medea,21.3,391,41,2018
Mostaganem,19.1,303,63,2018
M'Sila,22.5,165,29,2018
Mascara,22.1,402,45,2018
Ouargla,27.4,0,15,2018
Oran,27.5,375,54,2018
El Bayadh,22.1,124,41,2018
Illizi,34.5,19,2,2018
Bordj Bou Arreridj,21.8,441,48,2018
Boumerdes,23.1,609,68,2018
El Tarf,22.4,772,66,2018
Tindouf,25.0,35,17,2018
Tissemsilt,22.4,288,52,2018
El Oued,24.0,16,23,2018
Khenchela,17.9,234,39,2018
Souk Ahras,21.4,591,67,2018
Tipaza,20.7,485,68,2018
Mila,19.8,482,73,2018
Ain Defla,17.4,367,56,2018
Naama,17.3,61,33,2018
Ain Temouchent,19.7,407,46,2018
Ghardaia,22.6,0,14,2018
Relizane,25.4,327,52,2018
Adrar,31.0,46,31,2017
Chlef,26.1,383,52,2017
Laghouat,17.3,166,56,2017
Oum El Bouaghi,18.7,345,43,2017
Batna,14.7,325,66,2017
Bejaia,22.6,821,69,2017
Biskra,28.3,107,41,2017
Bechar,26.1,77,34,2017
Blida,20.3,591,54,2017
Bouira,25.6,514,78,2017
Tamanrasset,27.8,3,18,2017
Tebessa,14.6,266,44,2017
Tlemcen,21.6,497,53,2017
Tiaret,20.3,322,46,2017
Tizi Ouzou,20.6,997,61,2017
Algiers,24.5,647,53,2017
Djelfa,16.4,302,46,2017
Jijel,22.5,968,72,2017
Setif,20.0,360,64,2017
Saida,20.4,277,47,2017
Skikda,19.4,710,71,2017
Sidi Bel Abbes,17.0,488,52,2017
Annaba,22.9,606,73,2017
Guelma,16.6,529,59,2017
Constantine,19.2,486,65,2017
Medea,19.8,389,43,2017
Mostaganem,17.9,302,68,2017
M'Sila,23.4,149,30,2017
Mascara,22.1,411,48,2017
Ouargla,28.2,17,12,2017
Oran,27.2,385,51,2017
El Bayadh,21.5,124,41,2017
Illizi,33.7,34,0,2017
Bordj Bou Arreridj,19.8,433,46,2017
Boumerdes,24.2,595,66,2017
El Tarf,22.8,784,68,2017
Tindouf,26.5,38,20,2017
Tissemsilt,23.9,274,53,2017
El Oued,24.2,10,27,2017
Khenchela,16.2,217,41,2017
Souk Ahras,20.8,573,70,2017
Tipaza,19.3,468,64,2017
Mila,19.5,463,69,2017
Ain Defla,17.9,370,58,2017
Naama,17.8,68,34,2017
Ain Temouchent,20.6,393,43,2017
Ghardaia,21.7,0,18,2017
Relizane,25.6,326,52,2017
Adrar,30.7,52,36,2016
Chlef,26.7,372,48,2016
Laghouat,16.8,166,61,2016
Oum El Bouaghi,18.3,365,43,2016
Batna,14.5,326,66,2016
Bejaia,23.0,837,67,2016
Biskra,28.8,101,43,2016
Bechar,27.8,97,29,2016
Blida,21.0,578,57,2016
Bouira,26.3,512,80,2016
Tamanrasset,28.9,23,13,2016
Tebessa,13.5,286,43,2016
Tlemcen,20.4,498,48,2016
Tiaret,21.4,311,50,2016
Tizi Ouzou,21.3,977,57,2016
Algiers,23.2,631,52,2016
Djelfa,17.6,293,41,2016
Jijel,23.8,949,71,2016
Setif,18.2,357,60,2016
Saida,18.6,276,43,2016
Skikda,18.8,719,73,2016
Sidi Bel Abbes,18.8,503,53,2016
Annaba,23.0,602,68,2016
Guelma,17.0,532,64,2016
Constantine,17.3,481,65,2016
Medea,19.1,401,43,2016
Mostaganem,17.8,315,65,2016
M'Sila,25.2,149,33,2016
Mascara,21.4,429,49,2016
Ouargla,28.3,17,13,2016
Oran,28.5,375,47,2016
El Bayadh,20.4,109,37,2016
Illizi,33.8,52,0,2016
Bordj Bou Arreridj,18.9,425,47,2016
Boumerdes,22.6,598,69,2016
El Tarf,21.4,776,68,2016
Tindouf,26.5,53,25,2016
Tissemsilt,23.8,264,58,2016
El Oued,24.3,0,24,2016
Khenchela,16.3,214,38,2016
Souk Ahras,21.4,593,71,2016
Tipaza,17.8,466,63,2016
Mila,19.6,454,72,2016
Ain Defla,18.1,386,57,2016
Naama,16.5,61,32,2016
Ain Temouchent,19.2,379,44,2016
Ghardaia,22.4,11,17,2016
Relizane,24.3,324,52,2016
Adrar,32.5,46,34,2015
Chlef,26.7,356,53,2015
Laghouat,17.5,181,61,2015
Oum El Bouaghi,17.4,364,47,2015
Batna,14.3,318,64,2015
Bejaia,22.0,838,66,2015
Biskra,30.1,95,44,2015
Bechar,26.2,95,30,2015
Blida,19.9,580,54,2015
Bouira,27.2,529,79,2015
Tamanrasset,27.7,4,18,2015
Tebessa,12.5,291,48,2015
Tlemcen,21.5,493,51,2015
Tiaret,20.3,319,45,2015
Tizi Ouzou,23.2,993,55,2015
Algiers,23.7,629,57,2015
Djelfa,18.7,278,39,2015
Jijel,23.1,959,69,2015
Setif,19.9,360,58,2015
Saida,20.2,295,40,2015
Skikda,17.8,729,76,2015
Sidi Bel Abbes,18.9,499,50,2015
Annaba,21.6,617,70,2015
Guelma,16.1,547,59,2015
Constantine,18.5,482,63,2015
Medea,20.9,387,42,2015
Mostaganem,17.5,300,69,2015
M'Sila,24.3,146,31,2015
Mascara,20.0,418,48,2015
Ouargla,26.5,31,16,2015
Oran,26.8,367,51,2015
El Bayadh,21.4,108,33,2015
Illizi,35.2,50,0,2015
Bordj Bou Arreridj,20.0,439,46,2015
Boumerdes,23.1,613,67,2015
El Tarf,22.0,776,73,2015
Tindouf,28.2,59,21,2015
Tissemsilt,22.0,252,62,2015
El Oued,24.1,9,21,2015
Khenchela,18.1,199,43,2015
Souk Ahras,21.6,596,76,2015
Tipaza,18.2,460,67,2015
Mila,19.0,438,68,2015
Ain Defla,19.7,379,53,2015
Naama,16.2,66,31,2015
Ain Temouchent,19.0,380,48,2015
Ghardaia,23.6,1,16,2015
Relizane,22.9,316,50,2015
Adrar,31.9,56,33,2014
Chlef,24.8,368,52,2014
Laghouat,17.3,168,58,2014
Oum El Bouaghi,17.7,379,47,2014
Batna,15.6,327,65,2014
Bejaia,21.8,827,65,2014
Biskra,31.9,95,49,2014
Bechar,27.2,113,26,2014
Blida,18.6,582,56,2014
Bouira,28.4,539,76,2014
Tamanrasset,26.6,0,16,2014
Tebessa,13.1,290,51,2014
Tlemcen,20.1,495,50,2014
Tiaret,20.3,306,43,2014
Tizi Ouzou,23.6,985,58,2014
Algiers,23.2,619,60,2014
Djelfa,17.9,291,38,2014
Jijel,23.6,971,64,2014
Setif,18.6,380,58,2014
Saida,21.0,297,41,2014
Skikda,16.6,745,80,2014
Sidi Bel Abbes,20.3,482,55,2014
Annaba,21.2,616,66,2014
Guelma,17.9,548,64,2014
Constantine,16.7,470,65,2014
Medea,20.0,407,43,2014
Mostaganem,18.1,291,67,2014
M'Sila,22.7,152,30,2014
Mascara,22.0,414,53,2014
Ouargla,28.0,11,18,2014
Oran,26.5,368,51,2014
El Bayadh,22.7,100,34,2014
Illizi,34.3,70,0,2014
Bordj Bou Arreridj,18.9,448,47,2014
Boumerdes,21.9,629,65,2014
El Tarf,22.3,767,71,2014
Tindouf,26.3,58,16,2014
Tissemsilt,20.6,270,62,2014
El Oued,24.0,0,23,2014
Khenchela,20.0,206,48,2014
Souk Ahras,20.7,577,80,2014
Tipaza,18.8,440,67,2014
Mila,18.3,455,70,2014
Ain Defla,21.6,370,52,2014
Naama,16.7,60,30,2014
Ain Temouchent,19.4,400,53,2014
Ghardaia,22.2,20,15,2014
Relizane,22.5,319,51,2014
Adrar,33.2,41,38,2013
Chlef,25.8,386,49,2013
Laghouat,18.7,165,63,2013
Oum El Bouaghi,16.6,393,48,2013
Batna,17.0,337,67,2013
Bejaia,20.9,831,70,2013
Biskra,30.0,89,51,2013
Bechar,26.8,94,26,2013
Blida,18.4,591,51,2013
Bouira,30.1,536,81,2013
Tamanrasset,25.2,8,16,2013
Tebessa,12.1,285,52,2013
Tlemcen,19.3,490,54,2013
Tiaret,18.4,301,42,2013
Tizi Ouzou,23.3,998,57,2013
Algiers,23.4,620,65,2013
Djelfa,17.1,289,41,2013
Jijel,24.9,990,60,2013
Setif,18.3,384,53,2013
Saida,20.9,278,45,2013
Skikda,16.0,751,84,2013
Sidi Bel Abbes,18.6,464,56,2013
Annaba,21.2,634,61,2013
Guelma,16.7,532,64,2013
Constantine,18.7,481,62,2013
Medea,20.0,421,48,2013
Mostaganem,19.6,271,63,2013
M'Sila,23.9,148,30,2013
Mascara,20.8,416,51,2013
Ouargla,28.8,3,14,2013
Oran,28.3,350,53,2013
El Bayadh,21.8,88,36,2013
Illizi,35.8,62,0,2013
Bordj Bou Arreridj,18.9,436,43,2013
Boumerdes,22.2,635,69,2013
El Tarf,21.6,786,69,2013
Tindouf,27.7,38,15,2013
Tissemsilt,21.2,261,57,2013
El Oued,24.1,5,18,2013
Khenchela,20.9,224,49,2013
Souk Ahras,19.2,593,76,2013
Tipaza,17.4,460,64,2013
Mila,16.8,452,66,2013
Ain Defla,23.1,353,52,2013
Naama,17.5,57,35,2013
Ain Temouchent,18.6,420,52,2013
Ghardaia,21.1,26,20,2013
Relizane,23.9,302,46,2013
Adrar,27.0,0,25,2012
Chlef,19.9,384,62,2012
Laghouat,21.9,217,35,2012
Oum El Bouaghi,16.5,356,51,2012
Batna,18.5,314,50,2012
Bejaia,20.2,786,65,2012
Biskra,23.9,134,30,2012
Bechar,23.7,65,27,2012
Blida,24.1,587,69,2012
Bouira,19.0,516,57,2012
Tamanrasset,26.4,27,11,2012
Tebessa,18.0,249,41,2012
Tlemcen,21.1,502,61,2012
Tiaret,20.8,353,50,2012
Tizi Ouzou,22.7,986,71,2012
Algiers,22.9,605,63,2012
Djelfa,16.6,303,46,2012
Jijel,24.9,915,70,2012
Setif,17.7,383,58,2012
Saida,20.9,236,40,2012
Skikda,22.7,692,70,2012
Sidi Bel Abbes,19.8,455,57,2012
Annaba,23.2,582,61,2012
Guelma,19.9,567,60,2012
Constantine,20.8,461,59,2012
Medea,17.0,418,53,2012
Mostaganem,23.9,315,56,2012
M'Sila,22.1,184,41,2012
Mascara,21.4,417,55,2012
Ouargla,28.9,46,22,2012
Oran,24.0,354,60,2012
El Bayadh,14.2,132,36,2012
Illizi,25.8,0,12,2012
Bordj Bou Arreridj,19.8,397,60,2012
Boumerdes,22.8,595,60,2012
El Tarf,20.7,805,65,2012
Tindouf,25.1,27,15,2012
Tissemsilt,17.7,369,48,2012
El Oued,27.8,23,19,2012
Khenchela,17.4,263,37,2012
Souk Ahras,19.9,604,61,2012
Tipaza,22.1,492,55,2012
Mila,19.0,452,57,2012
Ain Defla,21.7,415,54,2012
Naama,13.4,85,30,2012
Ain Temouchent,21.1,391,62,2012
Ghardaia,22.4,46,30,2012
Relizane,23.4,357,59,2012
Adrar,27.2,30,25,2011
Chlef,20.6,388,56,2011
Laghouat,21.8,186,40,2011
Oum El Bouaghi,16.7,334,60,2011
Batna,20.1,311,52,2011
Bejaia,21.4,799,65,2011
Biskra,24.6,136,32,2011
Bechar,24.3,68,30,2011
Blida,21.9,619,68,2011
Bouira,21.9,515,61,2011
Tamanrasset,26.9,22,12,2011
Tebessa,16.9,254,44,2011
Tlemcen,21.9,489,55,2011
Tiaret,20.4,369,53,2011
Tizi Ouzou,20.8,1001,71,2011
