Wilaya,Mean Temperature,Approximate Rainfall,Approximate Humidity,Year,Culture habituelles (ha)
ADRAR,29,10,20,2024,24702.0
CHLEF,21,400,60,2024,134841.0
LAGHOUAT,22,200,40,2024,44017.0
OUM EL BOUAGHI,18,350,55,2024,234118.0
BATNA,19,300,50,2024,189135.0
BEJAIA,22,800,70,2024,14464.0
BISKRA,25,150,30,2024,61484.0
BECHAR,24,50,25,2024,3255.0
BLIDA,23,600,65,2024,15618.0
BOUIRA,20,500,60,2024,86288.0
TAMANRASSET,28,20,15,2024,3322.0
TEBESSA,17,250,45,2024,197698.0
TLEMCEN,21,500,60,2024,234494.0
TIARET,19,350,50,2024,405690.0
TIZI OUZOU,21,1000,75,2024,26251.0
ALGIERS,24,600,65,2024,11704.0
DJELFA,18,300,45,2024,115274.0
JIJEL,23,900,70,2024,9596.0
SETIF,18,400,55,2024,230851.0
SAIDA,20,250,40,2024,150607.0
SKIKDA,23,700,65,2024,84356.0
SIDI BEL ABBES,21,450,55,2024,206998.0
ANNABA,24,600,65,2024,31442.0
GUELMA,20,550,60,2024,118370.0
CONSTANTINE,19,450,55,2024,114017.0
MEDEA,19,400,50,2024,170361.0
MOSTAGANEM,23,300,60,2024,94046.0
M'SILA,21,200,40,2024,102185.0
MASCARA,22,400,55,2024,206168.0
OUARGLA,27,30,20,2024,5643.0
ORAN,24,350,60,2024,65444.0
EL BAYADH,16,150,35,2024,22342.0
ILLIZI,26,10,15,2024,651.0
BORDJ BOU ARRERIDJ,19,400,55,2024,86062.0
BOUMERDES,23,600,65,2024,29028.0
EL TARF,22,800,70,2024,39708.0
TINDOUF,25,20,15,2024,173.0
TISSEMSILT,18,350,50,2024,91322.0
EL OUED,26,40,20,2024,47379.0
KHENCHELA,17,250,40,2024,127607.0
SOUK AHRAS,20,600,60,2024,175525.0
TIPAZA,24,500,60,2024,38936.0
MILA,19,450,55,2024,137033.0
AIN DEFLA,20,400,50,2024,133621.0
NAAMA,15,100,30,2024,9442.0
AIN TEMOUCHENT,22,400,60,2024,142026.0
GHARDAIA,23,50,25,2024,13872.0
RELIZANE,22,350,55,2024,194863.0
