WILAYA,WIND SPEED,WIND DIRECTION
ADRAR,27.01960583852251,NE
CHLEF,28.489093834375243,NE
LAGHOUAT,19.15496792228086,SW
OUM EL BOUAGHI,22.517265886368545,SW
BATNA,22.113912567091965,NW
BEJAIA,27.75660161592207,SW
BISKRA,13.213744675412531,E
BECHAR,27.78736194090015,S
BLIDA,11.909531326781295,N
BOUIRA,29.05220829497272,E
TAMANRASSET,18.83612345849277,NW
TEBESSA,18.51184162476775,W
TLEMCEN,17.00173017314119,N
TIARET,5.158429116287226,SE
TIZI OUZOU,6.679775717312015,E
ALGIERS,10.445140570953164,NW
DJELFA,18.168954561963822,NE
JIJEL,23.79373344963273,SE
SETIF,28.491870727462977,E
SAIDA,10.383213345658113,SW
SKIKDA,18.22913341651728,NW
SIDI BEL ABBES,18.79556080808493,S
ANNABA,28.189128051387556,SW
GUELMA,12.011044341894976,E
CONSTANTINE,6.497391341868351,SE
MEDEA,22.929769604385303,NE
MOSTAGANEM,8.785406573102234,E
M'SILA,28.564024784988074,N
MASCARA,20.62562394995689,NE
OUARGLA,13.344399916944697,SE
ORAN,13.45622425506885,E
EL BAYADH,13.463875449458522,NW
ILLIZI,22.15056753208154,NE
BORDJ BOU ARRERIDJ,18.563529825325425,SE
BOUMERDES,28.246158665575393,SE
EL TARF,25.921804730390566,N
TINDOUF,12.696394511846504,NW
TISSEMSILT,10.753600559099901,S
EL OUED,29.32650376034663,SE
KHENCHELA,17.499208315057906,SW
SOUK AHRAS,22.457146301560467,NE
TIPAZA,18.187363226315718,W
MILA,12.74538271140609,W
AIN DEFLA,24.805167958907507,NW
NAAMA,21.45240854598016,N
AIN TEMOUCHENT,18.769034909259197,NE
GHARDAIA,11.86447517725372,E
RELIZANE,28.33260849290557,E
